word,positive_count,negative_count,part_of_speech
publicly,0,2,RB
largely,2,2,RB
intermittently,0,2,RB
[redacted]wing,0,2,RB
eagerly,1,2,RB
excessively,0,2,RB
evidently,0,2,RB
infamously,0,2,RB
nonstandard,0,2,RB
shockingly,0,2,RB
[300],0,2,RB
nonfamily,0,2,RB
evenly,0,2,RB
uneventfully,0,2,RB
vindictively,0,2,RB
bitterly,0,2,RB
nonverbally,0,2,RB
formally,1,2,RB
orally,0,2,RB
immensely,0,2,RB
viciously,0,2,RB
diffirently,0,2,RB
pathetically,0,2,RB
regretfully,0,2,RB
untimely,0,2,RB
perpetually,0,2,RB
congressionally,0,2,RB
dolly,0,2,RB
underway,0,2,RB
religiously,0,2,RB
holistically,0,2,RB
gotreally,0,2,RB
foodthat,0,2,RB
puzzlingly,0,2,RB
wobbly,0,2,RB
[redacted]and,0,2,RB
unjustifiably,0,2,RB
yearlong,0,2,RB
blindly,0,2,RB
disgustingly,0,2,RB
urgently,0,2,RB
nomore,0,2,RB
oneway,0,2,RB
[be],0,2,RB
wholly,0,2,RB
minimally,0,2,RB
physiologically,0,2,RB
annually,0,2,RB
massively,0,2,RB
responsibly,0,2,RB
nonsevere,0,2,RB
telephonically,0,2,RB
semifluently,0,2,RB
ignorantly,0,2,RB
mysteriously,0,2,RB
proverbially,0,2,RB
surly,0,2,RB
rampantly,0,2,RB
whatwere,0,2,RB
nextly,0,2,RB
uniquely,1,2,RB
conveniently,0,2,RB
strategically,0,2,RB
sociologically,0,2,RB
noother,0,2,RB
wrongly,2,2,RB
weactually,0,2,RB
factually,0,2,RB
incrementally,0,2,RB
interestingly,0,2,RB
ideally,0,2,RB
mutually,0,2,RB
prolly,0,2,RB
visually,0,2,RB
flatly,0,2,RB
theywere,0,2,RB
disproportionately,0,2,RB
ruthlessly,0,2,RB
admittedly,0,2,RB
awfully,0,2,RB
caringly,0,2,RB
sally,0,2,RB
allnightlong,0,2,RB
nervously,1,2,RB
outburst,0,2,RB
thatreally,0,2,RB
[expensive,0,2,RB
remarkably,0,2,RB
widely,0,2,RB
peacefully,1,2,RB
preferably,0,2,RB
summarily,0,2,RB
disproportionally,0,2,RB
inwardly,0,2,RB
tragically,0,2,RB
[ward],0,2,RB
nonhomicide,0,2,RB
inappropriately,0,2,RB
pseudofamily,0,2,RB
boldly,0,2,RB
nonviolently,0,2,RB
designatedly,0,2,RB
uncontrollably,2,2,RB
abruptly,2,2,RB
at—there,0,2,RB
quiere,0,2,RB
thewere,0,2,RB
marginally,0,2,RB
candidly,0,2,RB
unofficially,0,1,RB
imely,0,1,RB
sincerly,0,1,RB
chowchilla_20201218_173_full_prisonconditions_stress_family,0,1,RB
persistently,0,1,RB
alleyway,0,1,RB
continue—continually,0,1,RB
laterally,0,1,RB
uncomfortably,1,1,RB
constitutionally,0,1,RB
strangely,0,1,RB
here<br></br>,2,1,RB
foolishly,1,1,RB
wewere,0,1,RB
informally,0,1,RB
profoundly,0,1,RB
sparingly,0,1,RB
systemically,0,1,RB
chronically,1,1,RB
copfriendly,0,1,RB
down</br>,1,1,RB
crucially,0,1,RB
rightfully,0,1,RB
unruly,0,1,RB
accurately,0,1,RB
retroactively,0,1,RB
commonly,0,1,RB
stupidly,0,1,RB
seamlessly,0,1,RB
northwest,0,1,RB
gently,0,1,RB
suitably,0,1,RB
amazingly,1,1,RB
regrettably,0,1,RB
[redacted]face,0,1,RB
neatly,1,1,RB
well</br>,0,1,RB
apart</br>,0,1,RB
lawfully,0,1,RB
selectively,0,1,RB
cordially,0,1,RB
hastily,0,1,RB
heartedly,0,1,RB
profitreally,0,1,RB
withactually,0,1,RB
harshly,0,1,RB
angrily,1,1,RB
icily,0,1,RB
specifically<br></br>,1,1,RB
unjustly,1,1,RB
proudly,0,1,RB
negligently,0,1,RB
back<br><br>,0,1,RB
stuff—really,0,1,RB
softly,1,1,RB
approximently,0,1,RB
wisely,0,1,RB
royally,0,1,RB
securely,0,1,RB
methodically,0,1,RB
constructively,0,1,RB
depressively,0,1,RB
disorderly,0,1,RB
airway,0,1,RB
frugally,0,1,RB
oven,0,1,RB
respiratorpractically,0,1,RB
there</br</br>,1,1,RB
functionally,0,1,RB
acutely,0,1,RB
prematurely,0,1,RB
merely,0,1,RB
globally,1,1,RB
sully,0,1,RB
isactually,0,1,RB
sorely,0,1,RB
unknowingly,1,1,RB
consecutively,1,1,RB
historically,1,1,RB
philately,1,1,RB
bluntly,0,1,RB
profusely,0,1,RB
jokingly,0,1,RB
residentially,0,1,RB
areawhere,0,1,RB
wildly,0,1,RB
facefirst,0,1,RB
asymptomatically,1,1,RB
alone</br>,1,1,RB
comprehensively,0,1,RB
flagrantly,0,1,RB
bascially,1,1,RB
beautifully,1,1,RB
earthly,0,1,RB
[299calrptr3d673412p3d356],0,1,RB
itsabsolutely,0,1,RB
more</br>,1,1,RBR
precipitously,0,1,RB
statistically,0,1,RB
steadily,0,1,RB
overseas,1,1,RB
exclusively,1,1,RB
consciously,3,1,RB
earnestly,0,1,RB
endlessly,1,1,RB
measly,0,1,RB
internally,0,1,RB
chemically,0,1,RB
legitimately,0,1,RB
subconsciously,0,1,RB
uncertainly,0,1,RB
objectively,0,1,RB
swiftly,0,1,RB
up[unintelligible],0,1,RB
relentlessly,0,1,RB
that—even,0,1,RB
graciously,0,1,RB
purely,0,1,RB
optimistically,0,1,RB
inevitably,0,1,RB
lively,1,1,RB
incidentally,0,1,RB
handedly,2,1,RB
nonchalantly,1,1,RB
conservatively,1,1,RB
pandemically,0,1,RB
similarly,0,1,RB
invariably,0,1,RB
innocently,0,1,RB
satisfactorily,2,0,RB
courageously,2,0,RB
aimlessly,1,0,RB
brightly,1,0,RB
now],1,0,RB
bravely,2,0,RB
partly,1,0,RB
nicely,1,0,RB
mildly,1,0,RB
viven,1,0,RB
unfriendly,1,0,RB
unprecedentedly,1,0,RB
casually,1,0,RB
healthily,2,0,RB
tirelessly,3,0,RB
liberally,1,0,RB
confidently,1,0,RB
allthat,1,0,RB
eternally,1,0,RB
again<br></br>,1,0,RB
persevere,1,0,RB
bisexually,1,0,RB
internationally,1,0,RB
rightly,3,0,RB
cleanthere,2,0,RB
hermetically,3,0,RB
nutty,1,0,RB
inhere,3,0,RB
comfortably,2,0,RB
logically,1,0,RB
[right,1,0,RB
pleasantly,1,0,RB
yes<br></br>,2,0,RB
intrinsically,1,0,RB
