Filename,Date,Prison_name,Covid_confirmed_cases,Tags,NLTK_Negative Sentiment,NLTK_Neutral Sentiment,NLTK_Positive Sentiment,NLTK_Compound Sentiment,Flair_Sentiment,Flair_Polarity,Start_date,End_date
californiacity_20210617_714_full,20210617,CaliforniaCity,14,[''],0.06,0.778,0.162,0.9996,NEGATIVE,0.0003266334533692,2021/6/12 00:00,2021/6/19 00:00
californiacity_20210426_816_full_programsfamily,20210426,CaliforniaCity,5,"['Programs', ' Family']",0.018,0.778,0.203,0.9971,POSITIVE,0.9977739453315736,2021/4/25 00:00,2021/5/2 00:00
calipatria_20210122_06_48_full,20210122,Calipatria,518,[''],0.042,0.794,0.163,0.9998,NEGATIVE,8.273124694824219e-05,2021/1/19 00:00,2021/1/26 00:00
calipatria_20210217_07_39_full,20210217,Calipatria,140,[''],0.067,0.725,0.208,0.9998,NEGATIVE,0.0030722022056579,2021/2/12 00:00,2021/2/19 00:00
calipatria_20210222_3_32_full_prisonconditions,20210222,Calipatria,98,"['Prison Conditions', ' Program', ' Stress']",0.175,0.651,0.175,0.0,NEGATIVE,7.510185241588196e-06,2021/2/20 00:00,2021/2/27 00:00
calipatria_20210124_314_full,20210124,Calipatria,518,[''],0.097,0.651,0.252,0.9987,NEGATIVE,2.777576446522101e-05,2021/1/19 00:00,2021/1/26 00:00
calipatria_20210125_313_full,20210125,Calipatria,518,[''],0.149,0.719,0.132,-0.9235,NEGATIVE,0.0072024464607239,2021/1/19 00:00,2021/1/26 00:00
calipatria_20210127_335_full,20210127,Calipatria,382,[''],0.103,0.719,0.178,0.9962,NEGATIVE,0.0918431878089903,2021/1/27 00:00,2021/2/3 00:00
calipatria_20210129_309_full_infection_stress,20210129,Calipatria,382,['Family'],0.051,0.851,0.099,0.9557,NEGATIVE,0.0008425712585448,2021/1/27 00:00,2021/2/3 00:00
calipatria_20210129_369_full_prisonconditions_stress,20210129,Calipatria,382,"['Prison Conditions', ' Stress']",0.107,0.719,0.174,0.9892,NEGATIVE,5.149841308604852e-05,2021/1/27 00:00,2021/2/3 00:00
calipatria_20210201_374_full_infection,20210201,Calipatria,382,"['Infection', ' Prison Conditions']",0.067,0.777,0.156,0.9796,NEGATIVE,0.0001109838485717,2021/1/27 00:00,2021/2/3 00:00
calipatria_20210201_376_full_family_programs,20210201,Calipatria,382,"['Family', ' Programs']",0.082,0.769,0.149,0.989,NEGATIVE,1.776218414317743e-05,2021/1/27 00:00,2021/2/3 00:00
calipatria_20210203_383_full,20210203,Calipatria,382,[''],0.194,0.673,0.133,-0.9985,POSITIVE,0.8975977301597595,2021/1/27 00:00,2021/2/3 00:00
calipatria_20210203_384_full_stress,20210203,Calipatria,382,['Stress'],0.125,0.694,0.181,0.8777,NEGATIVE,0.1536785364151001,2021/1/27 00:00,2021/2/3 00:00
calipatria_20210204_378_full_infections_prisonconditions_stressandcoping,20210204,Calipatria,242,"['Infection', ' Prison Conditions', ' Stress']",0.065,0.787,0.148,0.9872,NEGATIVE,1.2278556823619446e-05,2021/2/4 00:00,2021/2/11 00:00
calipatria_20210205_387_full,20210205,Calipatria,242,"['Infection', ' Stress']",0.15,0.705,0.145,0.1646,NEGATIVE,0.0037121772766112,2021/2/4 00:00,2021/2/11 00:00
calipatria_20210205_389a_full,20210205,Calipatria,242,"['Prison Conditions', ' Family']",0.076,0.817,0.107,0.851,NEGATIVE,0.0296452641487121,2021/2/4 00:00,2021/2/11 00:00
calipatria_20210205_389b_full,20210205,Calipatria,242,"['Prison Conditions', ' Family', ' Stress']",0.161,0.725,0.115,-0.986,NEGATIVE,2.956390380859375e-05,2021/2/4 00:00,2021/2/11 00:00
calipatria_20210208_350_full_infection_family,20210208,Calipatria,242,"['Infection', ' Family']",0.122,0.668,0.211,0.9924,NEGATIVE,0.0098066926002502,2021/2/4 00:00,2021/2/11 00:00
calipatria_20210210_360_full,20210210,Calipatria,242,[''],0.079,0.702,0.219,0.9996,NEGATIVE,0.0077744722366331,2021/2/4 00:00,2021/2/11 00:00
calipatria_20210222_458_full_infection_prisonconditions,20210222,Calipatria,98,"['Infection', ' Prison Conditions']",0.081,0.75,0.168,0.9763,NEGATIVE,7.355213165283203e-05,2021/2/20 00:00,2021/2/27 00:00
calipatria_20210312_658_full,20210312,Calipatria,77,[''],0.079,0.763,0.158,0.9986,NEGATIVE,0.1316373348236084,2021/3/8 00:00,2021/3/15 00:00
calipatria_20210323_644_full,20210323,Calipatria,84,[''],0.179,0.747,0.074,-0.9993,NEGATIVE,0.000640332698822,2021/3/16 00:00,2021/3/23 00:00
calipatria_20210329_598_full,20210329,Calipatria,105,[''],0.102,0.743,0.155,0.9939,NEGATIVE,0.0017999410629272,2021/3/24 00:00,2021/3/31 00:00
calipatria_20210401_605_full,20210401,Calipatria,168,[''],0.073,0.812,0.114,0.99,NEGATIVE,0.0003581047058104,2021/4/1 00:00,2021/4/8 00:00
calipatria_20210406_964_full,20210406,Calipatria,168,[''],0.116,0.729,0.156,0.9805,NEGATIVE,3.576278686412415e-06,2021/4/1 00:00,2021/4/8 00:00
calipatria_ 20210208_351_full,20210208,Calipatria,242,[''],0.116,0.706,0.178,0.978,NEGATIVE,0.0007538795471192,2021/2/4 00:00,2021/2/11 00:00
centinela_20210121_05_38_full,20210121,Centinela,518,[''],0.085,0.729,0.187,0.9988,NEGATIVE,0.0013689398765563,2021/1/19 00:00,2021/1/26 00:00
centinela_20210412_57555_full,20210412,Centinela,175,[''],0.031,0.846,0.123,0.9995,NEGATIVE,0.0001490116119383,2021/4/9 00:00,2021/4/16 00:00
centinela_20210420_705_full,20210420,Centinela,130,[''],0.09,0.749,0.161,0.9989,NEGATIVE,1.0728836059570312e-05,2021/4/17 00:00,2021/4/24 00:00
centinela_20201123_070_full,20201123,Centinela,1078,"['Family', ' Stress', ' Prison Conditions']",0.076,0.865,0.059,-0.9006,NEGATIVE,2.646446228038446e-05,2020/11/16 00:00,2020/11/23 00:00
centinela_20201204_82_prisonconditions,20201204,Centinela,1484,['Prison Conditions'],0.154,0.769,0.077,-0.9949,NEGATIVE,3.337860107421875e-06,2020/12/2 00:00,2020/12/9 00:00
centinela_20210223_452_full,20210223,Centinela,98,[''],0.107,0.725,0.167,0.9957,NEGATIVE,0.021906077861786,2021/2/20 00:00,2021/2/27 00:00
centinela_20210331_615_full,20210331,Centinela,105,[''],0.055,0.783,0.163,0.9986,NEGATIVE,0.0018137097358703,2021/3/24 00:00,2021/3/31 00:00
chino_20201211_0615_full,20201211,Chino,24794,[''],0.108,0.815,0.077,-0.978,NEGATIVE,9.34600830078125e-05,2020/12/10 00:00,2020/12/17 00:00
chino_20201208_05_53_full,20201208,Chino,18491,[''],0.102,0.845,0.052,-0.9986,NEGATIVE,4.458427429199219e-05,2020/12/2 00:00,2020/12/9 00:00
chino_20201209_05_35_full_prisonconditions,20201209,Chino,18491,['Prison Conditions'],0.212,0.788,0.0,-0.8658,NEGATIVE,7.331371307361945e-05,2020/12/2 00:00,2020/12/9 00:00
chino_20201216_06_02_full,20201216,Chino,24794,[''],0.069,0.815,0.116,0.9988,NEGATIVE,0.0001084804534912,2020/12/10 00:00,2020/12/17 00:00
chino_20220204_15904_full,20220204,Chino,12901,[''],0.041,0.787,0.172,0.9958,NEGATIVE,0.067697823047638,2022/1/30 00:00,2022/2/6 00:00
chino_20220204_68596_full,20220204,Chino,12901,[''],0.043,0.753,0.204,0.9998,NEGATIVE,0.0020122528076171,2022/1/30 00:00,2022/2/6 00:00
chino_20220204_45125_full,20220204,Chino,12901,[''],0.042,0.838,0.12,0.9991,NEGATIVE,0.3954995274543762,2022/1/30 00:00,2022/2/6 00:00
chino_20220204_94412_full,20220204,Chino,12901,[''],0.074,0.771,0.155,0.9995,NEGATIVE,0.0003751516342164,2022/1/30 00:00,2022/2/6 00:00
chino_20220204_43800_full,20220204,Chino,12901,[''],0.065,0.707,0.228,0.9999,POSITIVE,0.6017486453056335,2022/1/30 00:00,2022/2/6 00:00
chino_20200430_72_full,20200430,Chino,588,[''],0.094,0.842,0.064,-0.9494,NEGATIVE,0.000108003616333,2020/4/30 00:00,2020/5/7 00:00
chino_20200828_136_full,20200828,Chino,1383,[''],0.066,0.677,0.257,0.9966,POSITIVE,0.9370389580726624,2020/8/28 00:00,2020/9/4 00:00
chino_20201130_074_full,20201130,Chino,12513,"['Prison Conditions', ' Infection', ' Stress']",0.157,0.751,0.092,-0.9992,NEGATIVE,0.000237762928009,2020/11/24 00:00,2020/12/1 00:00
chino_20201201_103_full,20201201,Chino,12513,[''],0.05,0.735,0.215,0.9991,POSITIVE,0.6810805201530457,2020/11/24 00:00,2020/12/1 00:00
chino_20201201_104_full,20201201,Chino,12513,[''],0.083,0.776,0.141,0.9871,NEGATIVE,0.0003806352615356,2020/11/24 00:00,2020/12/1 00:00
chino_20201205_92_full,20201205,Chino,18491,[''],0.101,0.801,0.098,-0.9615,NEGATIVE,0.0001112222671507,2020/12/2 00:00,2020/12/9 00:00
chino_20201209_139_fullprograms,20201209,Chino,18491,['Programs'],0.04,0.84,0.12,0.9093,POSITIVE,0.911576211452484,2020/12/2 00:00,2020/12/9 00:00
chino_20201213_137_full_infection_stress,20201213,Chino,24794,"['Infection', ' Stress']",0.139,0.767,0.095,-0.971,NEGATIVE,0.0007275938987731,2020/12/10 00:00,2020/12/17 00:00
chino_20201214_138_full_programs_prisonconditions,20201214,Chino,24794,"['Program', ' Prison Conditions']",0.053,0.837,0.11,0.9819,NEGATIVE,0.0001434087753295,2020/12/10 00:00,2020/12/17 00:00
chino_20201214_140_full,20201214,Chino,24794,[''],0.134,0.787,0.078,-0.9986,NEGATIVE,0.001245141029358,2020/12/10 00:00,2020/12/17 00:00
chino_20201218_174_full,20201218,Chino,25459,"['Prison Conditions', ' Stress']",0.045,0.846,0.109,0.9608,NEGATIVE,0.0011869668960572,2020/12/18 00:00,2020/12/25 00:00
chino_20201223_207_full,20201223,Chino,25459,[''],0.121,0.814,0.064,-0.9951,NEGATIVE,0.0001471042633055,2020/12/18 00:00,2020/12/25 00:00
chino_20201223_208_full,20201223,Chino,25459,"['Family', ' Stress', ' Prison Conditions']",0.098,0.759,0.143,0.9861,NEGATIVE,0.0004437565803527,2020/12/18 00:00,2020/12/25 00:00
chino_20201223_209_full,20201223,Chino,25459,[''],0.084,0.817,0.099,0.9587,NEGATIVE,9.620189666759148e-05,2020/12/18 00:00,2020/12/25 00:00
chino_20201228_178_full_prisonconditions_infection,20201228,Chino,222677,"['Prison Conditions', ' Infection']",0.21,0.711,0.079,-0.9937,NEGATIVE,3.933906555175781e-06,2020/12/26 00:00,2021/1/2 00:00
chino_20201231_186_full,20201231,Chino,222677,[''],0.142,0.74,0.117,-0.9921,NEGATIVE,0.3917282819747925,2020/12/26 00:00,2021/1/2 00:00
chino_20201231_201_full,20201231,Chino,222677,[''],0.1,0.726,0.175,0.9987,NEGATIVE,0.0031607151031494,2020/12/26 00:00,2021/1/2 00:00
chino_20210312_659_full_prisonconditions_stress,20210312,Chino,763,"['Prison Conditions', ' Stress', ' Featured']",0.131,0.777,0.092,-0.9348,NEGATIVE,8.022785186756476e-05,2021/3/8 00:00,2021/3/15 00:00
chowchilla_20210326_801_full,20210326,Chowchilla,88,[''],0.068,0.862,0.07,0.4723,NEGATIVE,1.0609626770019531e-05,2021/3/24 00:00,2021/3/31 00:00
chowchilla_20210913_92441_full,20210913,Chowchilla,473,[''],0.074,0.8,0.126,0.999,NEGATIVE,0.0009132623672484,2021/9/8 00:00,2021/9/15 00:00
chowchilla_20201123_069_full,20201123,Chowchilla,427,"['Prison Conditions', ' Programs', ' Family']",0.064,0.802,0.134,0.9863,POSITIVE,0.6654576063156128,2020/11/16 00:00,2020/11/23 00:00
chowchilla_20201124_062_full,20201124,Chowchilla,581,[''],0.045,0.802,0.153,0.996,NEGATIVE,5.006790161243835e-06,2020/11/24 00:00,2020/12/1 00:00
chowchilla_20201204_84_full,20201204,Chowchilla,819,"['Stress', ' Prison Conditions']",0.246,0.633,0.121,-0.9846,NEGATIVE,7.62939453125e-06,2020/12/2 00:00,2020/12/9 00:00
chowchilla_20201207_128_full,20201207,Chowchilla,819,"['Stress', ' Prison Conditions', ' Family']",0.084,0.807,0.109,0.8489,NEGATIVE,6.699562072765008e-05,2020/12/2 00:00,2020/12/9 00:00
chowchilla_20201208_117_full,20201208,Chowchilla,819,['Infection'],0.051,0.604,0.345,0.9843,NEGATIVE,0.0098413825035096,2020/12/2 00:00,2020/12/9 00:00
chowchilla_20201209_118_full,20201209,Chowchilla,819,"['Infection', ' Prison Conditions', ' Stress']",0.113,0.802,0.085,-0.9838,NEGATIVE,0.0021659731864928,2020/12/2 00:00,2020/12/9 00:00
chowchilla_20201209_121_full_family_prisonconditions,20201209,Chowchilla,819,"['Family', ' Prison Conditions']",0.08,0.809,0.111,0.9375,NEGATIVE,1.0490417480357728e-05,2020/12/2 00:00,2020/12/9 00:00
chowchilla_20201217_204_full,20201217,Chowchilla,1015,[''],0.062,0.751,0.187,0.9962,POSITIVE,0.9989598989486694,2020/12/10 00:00,2020/12/17 00:00
chowchilla_20201218_173_full_prisonconditions_stress_family,20201218,Chowchilla,1022,"['Prison Conditions', ' Stress', ' Family']",0.069,0.776,0.155,0.9881,NEGATIVE,0.0015377998352051,2020/12/18 00:00,2020/12/25 00:00
chowchilla_20201221_147_full,20201221,Chowchilla,1022,[''],0.068,0.827,0.106,0.9742,NEGATIVE,0.001139521598816,2020/12/18 00:00,2020/12/25 00:00
chowchilla_20201223_218_full,20201223,Chowchilla,1022,[''],0.141,0.811,0.048,-0.9953,NEGATIVE,0.0002333521842956,2020/12/18 00:00,2020/12/25 00:00
chowchilla_20201224_212_full_prisonconditions_infection_stress,20201224,Chowchilla,1022,"['Prison Conditions', ' Infection', ' Stress']",0.246,0.687,0.066,-0.994,NEGATIVE,6.103515625e-05,2020/12/18 00:00,2020/12/25 00:00
chowchilla_20201228_148_full,20201228,Chowchilla,1040,[''],0.084,0.802,0.114,0.93,NEGATIVE,0.0001606941223144,2020/12/26 00:00,2021/1/2 00:00
chowchilla_20201228_177_full,20201228,Chowchilla,1040,[''],0.059,0.785,0.157,0.988,NEGATIVE,0.043606460094452,2020/12/26 00:00,2021/1/2 00:00
chowchilla_20210104_248_full,20210104,Chowchilla,1162,['Prison Conditions'],0.047,0.856,0.098,0.9838,NEGATIVE,0.0023714900016783,2021/1/3 00:00,2021/1/10 00:00
chowchilla_20210111_262_full_infection,20210111,Chowchilla,1001,['Infection'],0.08,0.832,0.088,0.7755,NEGATIVE,0.0001012086868286,2021/1/11 00:00,2021/1/18 00:00
chowchilla_20210114_270_full,20210114,Chowchilla,1001,[''],0.095,0.772,0.133,0.9868,NEGATIVE,5.00679016112171e-05,2021/1/11 00:00,2021/1/18 00:00
chowchilla_20210121_324_full_prisonconditions,20210121,Chowchilla,658,['Prison Conditions'],0.074,0.824,0.103,0.7615,NEGATIVE,2.026557922363281e-05,2021/1/19 00:00,2021/1/26 00:00
chowchilla_20210405_960_full_stress,20210405,Chowchilla,165,['Stress'],0.153,0.671,0.176,0.8818,POSITIVE,0.8401389122009277,2021/4/1 00:00,2021/4/8 00:00
chowchilla_20210514_09_19_full,20210514,Chowchilla,109,[''],0.038,0.815,0.146,0.9997,NEGATIVE,0.0005106925964355,2021/5/11 00:00,2021/5/18 00:00
chowchilla_ 20210201_373_full,20210201,Chowchilla,413,['Stress'],0.109,0.769,0.122,0.5986,NEGATIVE,0.0604980587959289,2021/1/27 00:00,2021/2/3 00:00
chuckawalla_20201105_06_41_full,20201105,Chuckawalla,3189,[''],0.086,0.793,0.122,0.9976,NEGATIVE,5.5551528930775085e-05,2020/10/31 00:00,2020/11/7 00:00
chuckawalla_20201105_0728_full,20201105,Chuckawalla,3189,[''],0.139,0.76,0.101,-0.9974,NEGATIVE,0.0001149177551269,2020/10/31 00:00,2020/11/7 00:00
chuckawalla_20201106_05_42_full,20201106,Chuckawalla,3189,[''],0.033,0.873,0.094,0.9983,NEGATIVE,0.0003703832626343,2020/10/31 00:00,2020/11/7 00:00
chuckawalla_20201106_07_07_full,20201106,Chuckawalla,3189,[''],0.079,0.807,0.114,0.9962,NEGATIVE,0.0002253651618957,2020/10/31 00:00,2020/11/7 00:00
chuckawalla_20201106_07_22_full,20201106,Chuckawalla,3189,[''],0.086,0.81,0.104,0.9837,NEGATIVE,0.0007309317588806,2020/10/31 00:00,2020/11/7 00:00
chuckawalla_20201109_05_04_full,20201109,Chuckawalla,4519,[''],0.052,0.817,0.13,0.9993,NEGATIVE,0.000227391719818,2020/11/8 00:00,2020/11/15 00:00
chuckawalla_20201109_06_57_full,20201109,Chuckawalla,4519,[''],0.068,0.801,0.131,0.9991,NEGATIVE,0.00017648935318,2020/11/8 00:00,2020/11/15 00:00
chuckawalla_20201120_06_34_full,20201120,Chuckawalla,7053,[''],0.077,0.77,0.153,0.9994,NEGATIVE,3.278255462635382e-05,2020/11/16 00:00,2020/11/23 00:00
chuckawalla_20201127_06_21_full,20201127,Chuckawalla,10010,[''],0.083,0.775,0.142,0.9976,NEGATIVE,0.0004847049713135,2020/11/24 00:00,2020/12/1 00:00
chuckawalla_20201127_06_39_full,20201127,Chuckawalla,10010,[''],0.098,0.799,0.103,0.8423,NEGATIVE,7.748603820800781e-06,2020/11/24 00:00,2020/12/1 00:00
chuckawalla_20201127_06_59_full,20201127,Chuckawalla,10010,[''],0.09,0.775,0.135,0.9982,NEGATIVE,5.602836608775696e-06,2020/11/24 00:00,2020/12/1 00:00
chuckawalla_20201203_06_01_prisonconditions1_infection,20201203,Chuckawalla,15260,['Prison Conditions'],0.031,0.901,0.069,0.7347,NEGATIVE,1.800060272216797e-05,2020/12/2 00:00,2020/12/9 00:00
chuckawalla_20201208_06_50_full,20201208,Chuckawalla,15260,[''],0.088,0.775,0.137,0.9986,NEGATIVE,0.002567708492279,2020/12/2 00:00,2020/12/9 00:00
chuckawalla_20201211_05_20_full,20201211,Chuckawalla,21763,[''],0.075,0.826,0.1,0.9853,NEGATIVE,6.365776062000617e-05,2020/12/10 00:00,2020/12/17 00:00
chuckawalla_20210215_417_full_prisonconditions_infection,20210215,Chuckawalla,2786,"['Prison Conditions', ' Infection']",0.076,0.801,0.122,0.9467,NEGATIVE,0.0006284117698668,2021/2/12 00:00,2021/2/19 00:00
ciw_20201207_07_46_full,20201207,CIW,18491,"['Stress', ' Prison Conditions', ' Featured']",0.049,0.775,0.176,0.9999,NEGATIVE,6.723403930664062e-05,2020/12/2 00:00,2020/12/9 00:00
ciw_20210324_06_51_full,20210324,CIW,602,[''],0.053,0.855,0.091,0.9981,NEGATIVE,0.0006891489028931,2021/3/24 00:00,2021/3/31 00:00
ciw_20201120_71_full,20201120,CIW,9877,"['Stress', ' Family', ' Prison Conditions', ' Programs']",0.094,0.83,0.076,-0.9387,NEGATIVE,1.0728836059570312e-05,2020/11/16 00:00,2020/11/23 00:00
ciw_20201201_79_full,20201201,CIW,12513,[''],0.077,0.788,0.135,0.9973,NEGATIVE,3.564357757557257e-05,2020/11/24 00:00,2020/12/1 00:00
ciw_20201202_88_familyandstress,20201202,CIW,18491,"['Family', ' Stress']",0.109,0.788,0.103,-0.2023,NEGATIVE,0.0383828878402709,2020/12/2 00:00,2020/12/9 00:00
ciw_20201203_076_prisonconditions_stress,20201203,CIW,18491,['Prison Conditions; Stress'],0.101,0.829,0.07,-0.5859,NEGATIVE,4.088878631602899e-05,2020/12/2 00:00,2020/12/9 00:00
ciw_20201204_85_full_prisonconditions_stress,20201204,CIW,18491,"['Prison Conditions', ' Stress']",0.182,0.761,0.057,-0.9818,NEGATIVE,2.5153160095214844e-05,2020/12/2 00:00,2020/12/9 00:00
ciw_20201209_114_full,20201209,CIW,18491,"['Stress', ' Family', ' Prison Conditions', ' Programs']",0.082,0.673,0.246,0.998,NEGATIVE,0.0150322318077088,2020/12/2 00:00,2020/12/9 00:00
ciw_20201215_131_full,20201215,CIW,24794,[''],0.115,0.812,0.073,-0.9903,NEGATIVE,0.0008306503295898,2020/12/10 00:00,2020/12/17 00:00
ciw_20201218_153_full,20201218,CIW,25459,[''],0.125,0.791,0.084,-0.9825,NEGATIVE,0.0005059242248536,2020/12/18 00:00,2020/12/25 00:00
ciw_20201224_152_full,20201224,CIW,25459,[''],0.147,0.788,0.065,-0.9921,NEGATIVE,8.821487426757812e-06,2020/12/18 00:00,2020/12/25 00:00
ciw_20201230_160_full,20201230,CIW,22267,['Prison Conditions'],0.148,0.76,0.092,-0.9703,NEGATIVE,0.0003634691238404,2020/12/26 00:00,2021/1/2 00:00
ciw_20210319_577_full_stress,20210319,CIW,634,['Stress'],0.143,0.774,0.083,-0.9286,NEGATIVE,6.401538848876953e-05,2021/3/16 00:00,2021/3/23 00:00
cmc_20210212_0551_full,20210212,CMC,375,[''],0.017,0.821,0.161,0.9994,NEGATIVE,0.0003234148025511,2021/2/12 00:00,2021/2/19 00:00
cmc_20210212_07_21_full,20210212,CMC,375,[''],0.057,0.837,0.107,0.9975,NEGATIVE,0.0007760524749755,2021/2/12 00:00,2021/2/19 00:00
cmc_20210120_329_full_prisonconditions_infections_stress,20210120,CMC,1138,"['Prison Conditions', ' Infection', ' Stress']",0.107,0.829,0.064,-0.7463,NEGATIVE,1.0013580322376647e-05,2021/1/19 00:00,2021/1/26 00:00
cmc_20210121_316_full,20210121,CMC,1138,['Prison Conditions'],0.102,0.829,0.07,-0.8188,NEGATIVE,0.0121199488639831,2021/1/19 00:00,2021/1/26 00:00
cmc_20210125_315_full_prisonconditions_stress,20210125,CMC,1138,"['Prison Conditions', ' Stress']",0.034,0.717,0.25,0.9952,POSITIVE,0.7644221782684326,2021/1/19 00:00,2021/1/26 00:00
cmc_20210125_331_full_prisonconditions_infection_family,20210125,CMC,1138,"['Featured', ' Prison Conditions', ' Infection', ' Family']",0.133,0.694,0.173,0.9613,NEGATIVE,0.0004106163978575,2021/1/19 00:00,2021/1/26 00:00
cmc_20210125_332_full_infection,20210125,CMC,1138,['Infection'],0.208,0.758,0.034,-0.9917,NEGATIVE,3.457069396972656e-06,2021/1/19 00:00,2021/1/26 00:00
